BISHOP Mark,Sydney,Adelaide,25/04/2014,,,http://www.finance.gov.au/sites/default/files/P34_BISHOP_Mark.pdf,,WA,Labor,Labor,senate
BISHOP Mark,Sydney,Adelaide,25/04/2014,,,http://www.finance.gov.au/sites/default/files/P34_BISHOP_Mark.pdf,,WA,Labor,Labor,senate
FARRELL Don,Melbourne,,26/04/2014,$58.95,,http://www.finance.gov.au/sites/default/files/P34_FARRELL_Don.pdf,,SA,Labor,Labor,senate
FARRELL Don,Canberra,Melbourne,26/04/2014,$217.51,,http://www.finance.gov.au/sites/default/files/P34_FARRELL_Don.pdf,,SA,Labor,Labor,senate
FARRELL Don,Canberra,Melbourne,26/04/2014,$217.51,,http://www.finance.gov.au/sites/default/files/P34_FARRELL_Don.pdf,,SA,Labor,Labor,senate
RHIANNON Lee,Coffs Harbour,Sydney,26/04/2014,$294.40,,http://www.finance.gov.au/sites/default/files/P34_RHIANNON_Lee.pdf,,NSW,Greens,Greens,senate
PERIS Nova,Alice Springs,Uluru,26/04/2014,$324.30,,http://www.finance.gov.au/sites/default/files/P34_PERIS_Nova.pdf,,NT,Labor,Labor,senate
PERIS Nova,Alice Springs,Uluru,26/04/2014,$324.30,,http://www.finance.gov.au/sites/default/files/P34_PERIS_Nova.pdf,,NT,Labor,Labor,senate
RHIANNON Lee,Sydney,Coffs Harbour,26/04/2014,$328.97,,http://www.finance.gov.au/sites/default/files/P34_RHIANNON_Lee.pdf,,NSW,Greens,Greens,senate
HANSON-YOUNG Sarah,Canberra,Melbourne,26/04/2014,$344.12,,http://www.finance.gov.au/sites/default/files/P34_HANSON-YOUNG_Sarah.pdf,,SA,Greens,Greens,senate
FARRELL Don,Canberra,Melbourne,26/04/2014,$439.29,,http://www.finance.gov.au/sites/default/files/P34_FARRELL_Don.pdf,,SA,Labor,Labor,senate
FARRELL Don,Canberra,Melbourne,26/04/2014,$439.29,,http://www.finance.gov.au/sites/default/files/P34_FARRELL_Don.pdf,,SA,Labor,Labor,senate
KATTER Bob,Townsville,Brisbane,26/04/2014,$461.99,,http://www.finance.gov.au/sites/default/files/P34_KATTER_Bob.pdf,Kennedy,QLD,AUS,AUS,lower
SESELJA Zed,Canberra,Sydney,26/04/2014,$470.24,,http://www.finance.gov.au/sites/default/files/P34_SESELJA_Zed.pdf,,ACT,Liberal,Coalition,senate
