ABBOTT Tony,17/02/2013,Perth,Sydney,,http://www.finance.gov.au/sites/default/files/P32_ABBOTT_Tony_0.pdf
ABBOTT Tony,16/02/2013,Sydney,Perth,"$2,925.02",http://www.finance.gov.au/sites/default/files/P32_ABBOTT_Tony_0.pdf
ABBOTT Tony,16/02/2013,Brisbane,Sydney,,http://www.finance.gov.au/sites/default/files/P32_ABBOTT_Tony_0.pdf
ABBOTT Tony,15/02/2013,Sydney,Brisbane,"$1,297.92",http://www.finance.gov.au/sites/default/files/P32_ABBOTT_Tony_0.pdf
ABBOTT Tony,14/02/2013,Canberra,Sydney,,http://www.finance.gov.au/sites/default/files/P32_ABBOTT_Tony_0.pdf
ABBOTT Tony,11/02/2013,Sydney,Canberra,$493.60,http://www.finance.gov.au/sites/default/files/P32_ABBOTT_Tony_0.pdf
ABBOTT Tony,08/02/2013,Melbourne,Sydney,$599.01,http://www.finance.gov.au/sites/default/files/P32_ABBOTT_Tony_0.pdf
ABBOTT Tony,07/02/2013,Canberra,Melbourne,$509.50,http://www.finance.gov.au/sites/default/files/P32_ABBOTT_Tony_0.pdf
ABBOTT Tony,04/02/2013,Sydney,Canberra,$416.81,http://www.finance.gov.au/sites/default/files/P32_ABBOTT_Tony_0.pdf
ABBOTT Tony,01/02/2013,Hobart,Brisbane,$432.09,http://www.finance.gov.au/sites/default/files/P32_ABBOTT_Tony_0.pdf
ABBOTT Tony,30/01/2013,Melbourne,Canberra,$509.50,http://www.finance.gov.au/sites/default/files/P32_ABBOTT_Tony_0.pdf
ABBOTT Tony,28/01/2013,Sydney,Brisbane,$648.96,http://www.finance.gov.au/sites/default/files/P32_ABBOTT_Tony_0.pdf
ABBOTT Tony,28/01/2013,Brisbane,Melbourne,$915.80,http://www.finance.gov.au/sites/default/files/P32_ABBOTT_Tony_0.pdf
ABBOTT Tony,26/01/2013,Adelaide,Sydney,$578.07,http://www.finance.gov.au/sites/default/files/P32_ABBOTT_Tony_0.pdf
ABBOTT Tony,24/01/2013,Canberra,Adelaide,$776.25,http://www.finance.gov.au/sites/default/files/P32_ABBOTT_Tony_0.pdf
ABBOTT Tony,23/01/2013,Brisbane,Canberra,$516.93,http://www.finance.gov.au/sites/default/files/P32_ABBOTT_Tony_0.pdf
ABBOTT Tony,21/01/2013,Sydney,Brisbane,"$1,231.61",http://www.finance.gov.au/sites/default/files/P32_ABBOTT_Tony_0.pdf
ABBOTT Tony,19/01/2013,Brisbane,Sydney,,http://www.finance.gov.au/sites/default/files/P32_ABBOTT_Tony_0.pdf
ABBOTT Tony,18/01/2013,Sydney,Brisbane,"$1,257.02",http://www.finance.gov.au/sites/default/files/P32_ABBOTT_Tony_0.pdf
ABBOTT Tony,08/01/2013,Brisbane,Sydney,$628.51,http://www.finance.gov.au/sites/default/files/P32_ABBOTT_Tony_0.pdf
ABBOTT Tony,07/01/2013,Sydney,Brisbane,$376.73,http://www.finance.gov.au/sites/default/files/P32_ABBOTT_Tony_0.pdf
ABBOTT Tony,04/01/2013,Melbourne,Sydney,,http://www.finance.gov.au/sites/default/files/P32_ABBOTT_Tony_0.pdf
ABBOTT Tony,03/01/2013,Sydney,Melbourne,"$1,157.12",http://www.finance.gov.au/sites/default/files/P32_ABBOTT_Tony_0.pdf
ABBOTT Tony,26/12/2012,Sydney,Melbourne,"$1,157.10",http://www.finance.gov.au/sites/default/files/P32_ABBOTT_Tony_0.pdf
ABBOTT Tony,26/12/2012,Melbourne,Sydney,,http://www.finance.gov.au/sites/default/files/P32_ABBOTT_Tony_0.pdf
ABBOTT Tony,26/12/2012,Melbourne,Sydney,,http://www.finance.gov.au/sites/default/files/P32_ABBOTT_Tony_0.pdf
ABBOTT Tony,07/12/2012,Sydney,Melbourne,$45.46,http://www.finance.gov.au/sites/default/files/P32_ABBOTT_Tony_0.pdf
ABBOTT Tony,04/12/2012,Sydney,Brisbane,$376.73,http://www.finance.gov.au/sites/default/files/P32_ABBOTT_Tony_0.pdf
