O'NEIL Clare,http://www.finance.gov.au/sites/default/files/P34_O'NEIL_Clare.pdf,20-Mar-14,20-Mar-14,Electorate Business,Sydney,$375.00,1,41http://www.finance.gov.au/sites/default/files/P34_O'NEIL_Clare.pdf5P34 O'NEIL Clare,$375.00,,,-33.8674869,151.2069902,Hotham,VIC,Labor,Labor,lower,no
TEHAN Dan,http://www.finance.gov.au/sites/default/files/P34_TEHAN_Dan.pdf,20-Mar-14,20-Mar-14,Electorate Business,Melbourne,$125.00,1,70http://www.finance.gov.au/sites/default/files/P34_TEHAN_Dan.pdf5P34 TEHAN Dan,$125.00,,,-37.814107,144.96328,Wannon,VIC,Liberal,Coalition,lower,no
KATTER Bob,http://www.finance.gov.au/sites/default/files/P34_KATTER_Bob.pdf,24-Mar-14,24-Mar-14,Electorate Business,Brisbane,$397.00,1,104http://www.finance.gov.au/sites/default/files/P34_KATTER_Bob.pdf5P34 KATTER Bob,$397.00,,,-27.4710107,153.0234489,Kennedy,QLD,AUS,AUS,lower,no
TEHAN Dan,http://www.finance.gov.au/sites/default/files/P34_TEHAN_Dan.pdf,27-Mar-14,28-Mar-14,Electorate Business,Townsville,$278.00,2,84http://www.finance.gov.au/sites/default/files/P34_TEHAN_Dan.pdf5P34 TEHAN Dan,$556.00,,,-19.2576223,146.8178787,Wannon,VIC,Liberal,Coalition,lower,no
MCGOWAN Cathy,http://www.finance.gov.au/sites/default/files/P35_MCGOWAN_Cathy.pdf,29-Mar-14,29-Mar-14,Electorate Business,Echuca,$278.00,1,25http://www.finance.gov.au/sites/default/files/P35_MCGOWAN_Cathy.pdf20P35 MCGOWAN Cathy,$278.00,,,-36.1277236,144.7494973,Indi,VIC,Independent,Independent,lower,no
BROAD Andrew,http://www.finance.gov.au/sites/default/files/P34_BROAD_Andrew.pdf,31-Mar-14,31-Mar-14,Electorate Business,Ballarat,$278.00,1,125http://www.finance.gov.au/sites/default/files/P34_BROAD_Andrew.pdf5P34 BROAD Andrew,$278.00,,,-37.5636495,143.8671868,Mallee,VIC,National,Coalition,lower,no
TEHAN Dan,http://www.finance.gov.au/sites/default/files/P34_TEHAN_Dan.pdf,1-Apr-14,1-Apr-14,Electorate Business,Maryborough,$253.00,1,91http://www.finance.gov.au/sites/default/files/P34_TEHAN_Dan.pdf5P34 TEHAN Dan,$253.00,,,-25.5371225,152.701553,Wannon,VIC,Liberal,Coalition,lower,no
TEHAN Dan,http://www.finance.gov.au/sites/default/files/P34_TEHAN_Dan.pdf,3-Apr-14,3-Apr-14,Electorate Business,Melbourne,$125.00,1,98http://www.finance.gov.au/sites/default/files/P34_TEHAN_Dan.pdf5P34 TEHAN Dan,$125.00,,,-37.814107,144.96328,Wannon,VIC,Liberal,Coalition,lower,no
ALEXANDER John,http://www.finance.gov.au/sites/default/files/P34_ALEXANDER_John.pdf,8-Apr-14,9-Apr-14,Electorate Business,Melbourne,$374.00,2,55http://www.finance.gov.au/sites/default/files/P34_ALEXANDER_John.pdf5P34 ALEXANDER John,$748.00,,,-37.814107,144.96328,Bennelong,NSW,Liberal,Coalition,lower,no
HUTCHINSON Eric,http://www.finance.gov.au/sites/default/files/P34_HUTCHINSON_Eric.pdf,10-Apr-14,10-Apr-14,Electorate Business,Swansea,$253.00,1,69http://www.finance.gov.au/sites/default/files/P34_HUTCHINSON_Eric.pdf5P34 HUTCHINSON Eric,$253.00,,,-33.089413,151.636956,Lyons,TAS,Liberal,Coalition,lower,no
LAMING Andrew,http://www.finance.gov.au/sites/default/files/P34_LAMING_Andrew.pdf,14-Apr-14,15-Apr-14,Electorate Business,Roma,$278.00,2,69http://www.finance.gov.au/sites/default/files/P34_LAMING_Andrew.pdf5P34 LAMING Andrew,$556.00,,,-26.5717657,148.7904026,Bowman,QLD,Liberal,Coalition,lower,no
WILKIE Andrew,http://www.finance.gov.au/sites/default/files/P34_WILKIE_Andrew.pdf,14-Apr-14,14-Apr-14,Electorate Business,Brisbane,$397.00,1,62http://www.finance.gov.au/sites/default/files/P34_WILKIE_Andrew.pdf5P34 WILKIE Andrew,$397.00,,,-27.4710107,153.0234489,Denison,TAS,Independent,Independent,lower,no
WILSON Rick,http://www.finance.gov.au/sites/default/files/P34_WILSON_Rick.pdf,14-Apr-14,14-Apr-14,Electorate Business,Perth,$401.00,1,188http://www.finance.gov.au/sites/default/files/P34_WILSON_Rick.pdf5P34 WILSON Rick,$401.00,,,-31.9535132,115.8570471,O'Connor,WA,Liberal,Coalition,lower,no
KATTER Bob,http://www.finance.gov.au/sites/default/files/P35_KATTER_Bob.pdf,27-Apr-14,27-Apr-14,Electorate Business,Brisbane,$397.00,1,18http://www.finance.gov.au/sites/default/files/P35_KATTER_Bob.pdf30P35 KATTER Bob,$397.00,,,-27.4710107,153.0234489,Kennedy,QLD,AUS,AUS,lower,no
O'DWYER Kelly,http://www.finance.gov.au/sites/default/files/P34_O'DWYER_Kelly.pdf,28-Apr-14,28-Apr-14,Electorate Business,Sydney,$375.00,1,85http://www.finance.gov.au/sites/default/files/P34_O'DWYER_Kelly.pdf5P34 O'DWYER Kelly,$375.00,,,-33.8674869,151.2069902,Higgins,VIC,Liberal,Coalition,lower,no
WILSON Rick,http://www.finance.gov.au/sites/default/files/P34_WILSON_Rick.pdf,30-Apr-14,30-Apr-14,Electorate Business,Warburton,$253.00,1,223http://www.finance.gov.au/sites/default/files/P34_WILSON_Rick.pdf5P34 WILSON Rick,$253.00,,,-37.753601,145.689087,O'Connor,WA,Liberal,Coalition,lower,no
STONE Sharman,http://www.finance.gov.au/sites/default/files/P34_STONE_Sharman.pdf,10-May-14,10-May-14,Electorate Business,Canberra,$268.00,1,83http://www.finance.gov.au/sites/default/files/P34_STONE_Sharman.pdf5P34 STONE Sharman,$268.00,,,-35.2819998,149.1286843,Murray,VIC,Liberal,Coalition,lower,no
STONE Sharman,http://www.finance.gov.au/sites/default/files/P34_STONE_Sharman.pdf,11-May-14,11-May-14,Electorate Business,Sydney,$375.00,1,90http://www.finance.gov.au/sites/default/files/P34_STONE_Sharman.pdf5P34 STONE Sharman,$375.00,,,-33.8674869,151.2069902,Murray,VIC,Liberal,Coalition,lower,no
HUTCHINSON Eric,http://www.finance.gov.au/sites/default/files/P34_HUTCHINSON_Eric.pdf,15-May-14,15-May-14,Electorate Business,Melbourne,$374.00,1,83http://www.finance.gov.au/sites/default/files/P34_HUTCHINSON_Eric.pdf5P34 HUTCHINSON Eric,$374.00,,,-37.814107,144.96328,Lyons,TAS,Liberal,Coalition,lower,no
SNOWDON Warren,http://www.finance.gov.au/sites/default/files/P35_SNOWDON_Warren.pdf,16-May-14,16-May-14,Electorate Business,Melbourne,$374.00,1,66http://www.finance.gov.au/sites/default/files/P35_SNOWDON_Warren.pdf21P35 SNOWDON Warren,$374.00,,,-37.814107,144.96328,Lingiari,NT,Labor,Labor,lower,no
GAMBARO Teresa,http://www.finance.gov.au/sites/default/files/P34_GAMBARO_Teresa.pdf,16-May-14,16-May-14,Electorate Business,Mackay,$298.00,1,70http://www.finance.gov.au/sites/default/files/P34_GAMBARO_Teresa.pdf5P34 GAMBARO Teresa,$298.00,,,-21.1412101,149.1856253,Brisbane,QLD,Liberal,Coalition,lower,no
SNOWDON Warren,http://www.finance.gov.au/sites/default/files/P35_SNOWDON_Warren.pdf,17-May-14,17-May-14,Electorate Business,Darwin,$415.00,1,73http://www.finance.gov.au/sites/default/files/P35_SNOWDON_Warren.pdf21P35 SNOWDON Warren,$415.00,,,-12.4628271,130.8417772,Lingiari,NT,Labor,Labor,lower,no
BUCHHOLZ Scott,http://www.finance.gov.au/sites/default/files/P34_BUCHHOLZ_Scott.pdf,19-May-14,19-May-14,Electorate Business,Rockhampton,$278.00,1,76http://www.finance.gov.au/sites/default/files/P34_BUCHHOLZ_Scott.pdf5P34 BUCHHOLZ Scott,$278.00,,,-23.3779152,150.5101026,Wright,QLD,Liberal,Coalition,lower,no
SCOTT Bruce,http://www.finance.gov.au/sites/default/files/P35_SCOTT_Bruce.pdf,21-May-14,21-May-14,Electorate Business,Adelaide,$376.00,1,19http://www.finance.gov.au/sites/default/files/P35_SCOTT_Bruce.pdf22P35 SCOTT Bruce,$376.00,,,-34.9286212,138.5999594,Maranoa,QLD,National,Coalition,lower,no
LANDRY Michelle,http://www.finance.gov.au/sites/default/files/P34_LANDRY_Michelle.pdf,21-May-14,22-May-14,Electorate Business,Mackay,$298.00,2,118http://www.finance.gov.au/sites/default/files/P34_LANDRY_Michelle.pdf5P34 LANDRY Michelle,$596.00,,,-21.1412101,149.1856253,Capricornia,QLD,National,Coalition,lower,no
HENDY Peter,http://www.finance.gov.au/sites/default/files/P35_HENDY_Peter.pdf,22-May-14,22-May-14,Electorate Business,Sydney,$375.00,1,18http://www.finance.gov.au/sites/default/files/P35_HENDY_Peter.pdf17P35 HENDY Peter,$375.00,,,-33.8674869,151.2069902,Eden-Monaro,NSW,Liberal,Coalition,lower,no
SCOTT Bruce,http://www.finance.gov.au/sites/default/files/P35_SCOTT_Bruce.pdf,22-May-14,22-May-14,Electorate Business,Innamincka,$357.00,1,26http://www.finance.gov.au/sites/default/files/P35_SCOTT_Bruce.pdf22P35 SCOTT Bruce,$357.00,,,-27.7075596,140.7392213,Maranoa,QLD,National,Coalition,lower,no
SWAN Wayne,http://www.finance.gov.au/sites/default/files/P34_SWAN_Wayne.pdf,23-May-14,23-May-14,Electorate Business,Sydney,$375.00,1,55http://www.finance.gov.au/sites/default/files/P34_SWAN_Wayne.pdf5P34 SWAN Wayne,$375.00,,,-33.8674869,151.2069902,Lilley,QLD,Labor,Labor,lower,no
SCOTT Bruce,http://www.finance.gov.au/sites/default/files/P35_SCOTT_Bruce.pdf,5-Jun-14,5-Jun-14,Electorate Business,Brisbane,$419.00,1,33http://www.finance.gov.au/sites/default/files/P35_SCOTT_Bruce.pdf22P35 SCOTT Bruce,$419.00,,,-27.4710107,153.0234489,Maranoa,QLD,National,Coalition,lower,no
SNOWDON Warren,http://www.finance.gov.au/sites/default/files/P35_SNOWDON_Warren.pdf,6-Jun-14,7-Jun-14,Electorate Business,Darwin,$415.00,2,126http://www.finance.gov.au/sites/default/files/P35_SNOWDON_Warren.pdf21P35 SNOWDON Warren,$830.00,,,-12.4628271,130.8417772,Lingiari,NT,Labor,Labor,lower,no
SCOTT Bruce,http://www.finance.gov.au/sites/default/files/P35_SCOTT_Bruce.pdf,10-Jun-14,10-Jun-14,Electorate Business,Brisbane,$419.00,1,47http://www.finance.gov.au/sites/default/files/P35_SCOTT_Bruce.pdf22P35 SCOTT Bruce,$419.00,,,-27.4710107,153.0234489,Maranoa,QLD,National,Coalition,lower,no
SNOWDON Warren,http://www.finance.gov.au/sites/default/files/P35_SNOWDON_Warren.pdf,11-Jun-14,12-Jun-14,Electorate Business,Darwin,$415.00,2,133http://www.finance.gov.au/sites/default/files/P35_SNOWDON_Warren.pdf21P35 SNOWDON Warren,$830.00,,,-12.4628271,130.8417772,Lingiari,NT,Labor,Labor,lower,no
LAMING Andrew,http://www.finance.gov.au/sites/default/files/P35_LAMING_Andrew.pdf,13-Jun-14,15-Jun-14,Electorate Business,Sydney,$375.00,3,18http://www.finance.gov.au/sites/default/files/P35_LAMING_Andrew.pdf19P35 LAMING Andrew,"$1,125.00",,,-33.8674869,151.2069902,Bowman,QLD,Liberal,Coalition,lower,no
SCOTT Bruce,http://www.finance.gov.au/sites/default/files/P35_SCOTT_Bruce.pdf,19-Jun-14,19-Jun-14,Electorate Business,Brisbane,$419.00,1,61http://www.finance.gov.au/sites/default/files/P35_SCOTT_Bruce.pdf22P35 SCOTT Bruce,$419.00,,,-27.4710107,153.0234489,Maranoa,QLD,National,Coalition,lower,no
